設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
縣市立,桃園市,7852,2908,37,4382,78,1,0,0,0,1,11,66,20,1,95.58,37.04,0.47,55.81,0.99,0.01,0,0,0,0.01,0.14,0.84,0.25,0.01
縣市立,臺中市,12179,5612,227,4733,413,8,7,0,10,7,30,96,58,4,92,46.08,1.86,38.86,3.39,0.07,0.06,0,0.08,0.06,0.25,0.79,0.48,0.03
縣市立,臺南市,573,216,0,315,7,0,0,0,0,1,5,5,0,0,95.81,37.7,0,54.97,1.22,0,0,0,0,0.17,0.87,0.87,0,0
縣市立,高雄市,10098,4526,145,4277,75,24,6,0,9,26,21,138,34,4,91.95,44.82,1.44,42.35,0.74,0.24,0.06,0,0.09,0.26,0.21,1.37,0.34,0.04
縣市立,宜蘭縣,91,23,0,25,0,0,0,0,0,0,0,0,3,0,56.04,25.27,0,27.47,0,0,0,0,0,0,0,0,3.3,0
縣市立,新竹縣,415,212,4,177,0,0,0,0,0,2,1,3,1,0,96.39,51.08,0.96,42.65,0,0,0,0,0,0.48,0.24,0.72,0.24,0
縣市立,苗栗縣,568,115,29,360,9,0,0,0,0,0,0,5,0,0,91.2,20.25,5.11,63.38,1.58,0,0,0,0,0,0,0.88,0,0
縣市立,彰化縣,879,172,4,590,12,0,0,0,0,0,2,34,3,0,92.95,19.57,0.46,67.12,1.37,0,0,0,0,0,0.23,3.87,0.34,0
縣市立,南投縣,220,36,2,157,0,0,0,0,0,0,1,0,1,0,89.55,16.36,0.91,71.36,0,0,0,0,0,0,0.45,0,0.45,0
縣市立,雲林縣,355,72,5,219,7,0,0,0,0,0,4,10,2,1,90.14,20.28,1.41,61.69,1.97,0,0,0,0,0,1.13,2.82,0.56,0.28
縣市立,嘉義縣,262,66,3,137,0,0,0,0,0,0,1,24,0,0,88.17,25.19,1.15,52.29,0,0,0,0,0,0,0.38,9.16,0,0
縣市立,屏東縣,534,127,5,311,4,0,0,0,1,2,3,37,0,0,91.76,23.78,0.94,58.24,0.75,0,0,0,0.19,0.37,0.56,6.93,0,0
縣市立,臺東縣,19,6,0,6,0,0,0,0,0,0,0,0,0,0,63.16,31.58,0,31.58,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,30,15,1,7,1,0,0,0,0,0,0,0,0,0,80,50,3.33,23.33,3.33,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,348,93,4,222,1,0,0,0,0,0,1,8,0,0,94.54,26.72,1.15,63.79,0.29,0,0,0,0,0,0.29,2.3,0,0
縣市立,新竹市,856,341,0,456,3,0,0,0,0,0,1,1,5,0,94.28,39.84,0,53.27,0.35,0,0,0,0,0,0.12,0.12,0.58,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,10245,961,137,5801,627,7,22,39,61,2,7,68,214,49,78.04,9.38,1.34,56.62,6.12,0.07,0.21,0.38,0.6,0.02,0.07,0.66,2.09,0.48
私立,臺北市,8944,1287,74,4839,428,9,25,18,210,2,4,32,169,8,79.44,14.39,0.83,54.1,4.79,0.1,0.28,0.2,2.35,0.02,0.04,0.36,1.89,0.09
私立,桃園市,12388,1639,310,6600,923,45,9,1,10,4,10,108,19,7,78.18,13.23,2.5,53.28,7.45,0.36,0.07,0.01,0.08,0.03,0.08,0.87,0.15,0.06
私立,臺中市,14796,2277,555,7310,1264,54,39,46,25,4,11,97,109,16,79.8,15.39,3.75,49.41,8.54,0.36,0.26,0.31,0.17,0.03,0.07,0.66,0.74,0.11
私立,臺南市,6126,1035,18,3053,516,1,1,2,10,4,11,115,15,7,78.16,16.9,0.29,49.84,8.42,0.02,0.02,0.03,0.16,0.07,0.18,1.88,0.24,0.11
私立,高雄市,9468,694,230,3845,870,5,2,26,78,0,3,104,70,4,62.64,7.33,2.43,40.61,9.19,0.05,0.02,0.27,0.82,0,0.03,1.1,0.74,0.04
私立,宜蘭縣,332,75,5,226,5,0,0,0,0,0,0,1,10,0,96.99,22.59,1.51,68.07,1.51,0,0,0,0,0,0,0.3,3.01,0
私立,新竹縣,1953,328,3,968,231,1,6,1,0,0,0,12,2,0,79.47,16.79,0.15,49.56,11.83,0.05,0.31,0.05,0,0,0,0.61,0.1,0
私立,苗栗縣,1539,92,12,689,136,0,0,0,7,0,0,5,0,0,61.14,5.98,0.78,44.77,8.84,0,0,0,0.45,0,0,0.32,0,0
私立,彰化縣,2547,197,14,1240,190,0,1,0,1,3,4,14,5,0,65.53,7.73,0.55,48.68,7.46,0,0.04,0,0.04,0.12,0.16,0.55,0.2,0
私立,南投縣,884,115,37,340,51,0,4,4,5,0,0,3,29,8,67.42,13.01,4.19,38.46,5.77,0,0.45,0.45,0.57,0,0,0.34,3.28,0.9
私立,雲林縣,2075,350,46,960,60,1,0,0,0,6,5,38,13,4,71.47,16.87,2.22,46.27,2.89,0.05,0,0,0,0.29,0.24,1.83,0.63,0.19
私立,嘉義縣,1763,204,20,769,123,2,3,2,0,0,2,14,4,6,65.17,11.57,1.13,43.62,6.98,0.11,0.17,0.11,0,0,0.11,0.79,0.23,0.34
私立,屏東縣,1395,124,46,587,26,5,0,3,8,2,1,23,2,0,59.28,8.89,3.3,42.08,1.86,0.36,0,0.22,0.57,0.14,0.07,1.65,0.14,0
私立,臺東縣,310,43,9,146,9,2,1,0,1,0,0,2,1,0,69.03,13.87,2.9,47.1,2.9,0.65,0.32,0,0.32,0,0,0.65,0.32,0
私立,花蓮縣,1008,153,17,536,5,1,0,0,0,0,1,15,1,0,72.32,15.18,1.69,53.17,0.5,0.1,0,0,0,0,0.1,1.49,0.1,0
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1053,302,8,563,3,0,0,3,0,0,0,9,1,0,84.43,28.68,0.76,53.47,0.28,0,0,0.28,0,0,0,0.85,0.09,0
私立,新竹市,2398,277,13,1482,164,0,0,2,0,0,1,10,6,0,81.53,11.55,0.54,61.8,6.84,0,0,0.08,0,0,0.04,0.42,0.25,0
私立,嘉義市,2115,237,32,1060,13,0,0,0,0,12,10,59,1,1,67.38,11.21,1.51,50.12,0.61,0,0,0,0,0.57,0.47,2.79,0.05,0.05
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
