設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,新北市,442,95,6,311,1,0,0,0,0,0,0,1,11,0,96.15,21.49,1.36,70.36,0.23,0,0,0,0,0,0,0.23,2.49,0
國立,臺北市,1317,939,0,261,6,0,0,0,0,1,0,7,45,0,95.6,71.3,0,19.82,0.46,0,0,0,0,0.08,0,0.53,3.42,0
國立,桃園市,1555,771,7,568,33,9,1,1,0,1,1,19,5,1,91.13,49.58,0.45,36.53,2.12,0.58,0.06,0.06,0,0.06,0.06,1.22,0.32,0.06
國立,臺中市,1427,780,12,435,30,0,1,0,0,0,3,13,2,0,89.42,54.66,0.84,30.48,2.1,0,0.07,0,0,0,0.21,0.91,0.14,0
國立,臺南市,9197,3703,106,3786,296,29,3,0,2,2,14,130,18,0,87.95,40.26,1.15,41.17,3.22,0.32,0.03,0,0.02,0.02,0.15,1.41,0.2,0
國立,高雄市,4080,1649,138,1613,100,10,4,9,8,3,16,83,9,0,89.26,40.42,3.38,39.53,2.45,0.25,0.1,0.22,0.2,0.07,0.39,2.03,0.22,0
國立,宜蘭縣,3202,699,14,1930,27,1,2,0,0,1,3,30,4,5,84.82,21.83,0.44,60.27,0.84,0.03,0.06,0,0,0.03,0.09,0.94,0.12,0.16
國立,新竹縣,1446,595,5,729,11,0,0,0,1,1,2,8,13,0,94.4,41.15,0.35,50.41,0.76,0,0,0,0.07,0.07,0.14,0.55,0.9,0
國立,苗栗縣,2763,680,107,1616,48,1,5,0,0,0,3,50,3,1,90.99,24.61,3.87,58.49,1.74,0.04,0.18,0,0,0,0.11,1.81,0.11,0.04
國立,彰化縣,8103,3096,158,3494,211,17,25,0,4,6,19,61,7,25,87.91,38.21,1.95,43.12,2.6,0.21,0.31,0,0.05,0.07,0.23,0.75,0.09,0.31
國立,南投縣,2893,619,115,1429,125,11,4,2,4,1,6,84,1,5,83.17,21.4,3.98,49.4,4.32,0.38,0.14,0.07,0.14,0.03,0.21,2.9,0.03,0.17
國立,雲林縣,3183,924,221,1400,30,6,3,2,2,11,11,69,3,0,84.26,29.03,6.94,43.98,0.94,0.19,0.09,0.06,0.06,0.35,0.35,2.17,0.09,0
國立,嘉義縣,854,118,45,465,29,4,0,1,2,0,3,24,0,1,81.03,13.82,5.27,54.45,3.4,0.47,0,0.12,0.23,0,0.35,2.81,0,0.12
國立,屏東縣,3425,873,127,1486,60,14,0,7,5,1,21,117,0,4,79.27,25.49,3.71,43.39,1.75,0.41,0,0.2,0.15,0.03,0.61,3.42,0,0.12
國立,臺東縣,1225,367,15,488,2,28,7,0,1,0,4,28,0,0,76.73,29.96,1.22,39.84,0.16,2.29,0.57,0,0.08,0,0.33,2.29,0,0
國立,花蓮縣,1630,429,2,778,11,8,2,0,0,0,0,25,0,4,77.24,26.32,0.12,47.73,0.67,0.49,0.12,0,0,0,0,1.53,0,0.25
國立,澎湖縣,679,287,19,159,1,0,0,0,0,1,5,12,0,1,71.43,42.27,2.8,23.42,0.15,0,0,0,0,0.15,0.74,1.77,0,0.15
國立,基隆市,1280,252,16,784,18,1,0,1,0,0,0,7,0,0,84.3,19.69,1.25,61.25,1.41,0.08,0,0.08,0,0,0,0.55,0,0
國立,新竹市,2690,1780,23,639,36,1,0,0,0,0,0,15,69,0,95.28,66.17,0.86,23.75,1.34,0.04,0,0,0,0,0,0.56,2.57,0
國立,嘉義市,3480,1394,67,1487,24,5,0,0,0,4,12,54,5,0,87.7,40.06,1.93,42.73,0.69,0.14,0,0,0,0.11,0.34,1.55,0.14,0
國立,金門縣,434,150,23,192,7,1,0,0,0,0,1,0,1,0,86.41,34.56,5.3,44.24,1.61,0.23,0,0,0,0,0.23,0,0.23,0
國立,連江縣,81,30,1,41,0,0,0,0,0,0,0,0,0,0,88.89,37.04,1.23,50.62,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,12227,2798,91,7851,207,3,1,2,0,4,9,71,28,0,90.5,22.88,0.74,64.21,1.69,0.02,0.01,0.02,0,0.03,0.07,0.58,0.23,0
縣市立,臺北市,17990,8317,176,8499,49,1,0,0,0,2,7,58,117,0,95.75,46.23,0.98,47.24,0.27,0.01,0,0,0,0.01,0.04,0.32,0.65,0
