設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,嘉義市,3327,1465,81,1355,22,2,0,1,0,4,28,52,2,0,90.53,44.03,2.43,40.73,0.66,0.06,0,0.03,0,0.12,0.84,1.56,0.06,0
國立,金門縣,474,196,25,183,4,0,0,0,0,0,0,2,0,1,86.71,41.35,5.27,38.61,0.84,0,0,0,0,0,0,0.42,0,0.21
國立,連江縣,96,38,0,56,0,0,0,0,0,0,0,0,0,0,97.92,39.58,0,58.33,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,11774,2906,85,7612,200,3,1,9,1,3,17,84,23,0,92.95,24.68,0.72,64.65,1.7,0.03,0.01,0.08,0.01,0.03,0.14,0.71,0.2,0
縣市立,臺北市,17831,8531,116,8548,30,2,0,0,0,2,13,47,110,3,97.59,47.84,0.65,47.94,0.17,0.01,0,0,0,0.01,0.07,0.26,0.62,0.02
縣市立,桃園市,7512,2939,15,4146,37,0,1,0,0,0,7,78,22,0,96.45,39.12,0.2,55.19,0.49,0,0.01,0,0,0,0.09,1.04,0.29,0
縣市立,臺中市,11614,5597,343,4457,268,7,12,1,1,3,36,71,39,0,93.29,48.19,2.95,38.38,2.31,0.06,0.1,0.01,0.01,0.03,0.31,0.61,0.34,0
縣市立,臺南市,534,223,0,274,11,0,0,0,0,0,1,4,1,0,96.25,41.76,0,51.31,2.06,0,0,0,0,0,0.19,0.75,0.19,0
縣市立,高雄市,9460,4568,169,3691,211,19,3,0,0,15,30,155,30,2,94.01,48.29,1.79,39.02,2.23,0.2,0.03,0,0,0.16,0.32,1.64,0.32,0.02
縣市立,宜蘭縣,75,18,0,19,0,0,3,0,0,0,0,0,0,0,53.33,24,0,25.33,0,0,4,0,0,0,0,0,0,0
縣市立,新竹縣,444,152,3,233,36,0,0,0,0,1,0,0,1,1,96.17,34.23,0.68,52.48,8.11,0,0,0,0,0.23,0,0,0.23,0.23
縣市立,苗栗縣,544,89,12,397,11,0,1,0,0,0,0,9,0,0,95.4,16.36,2.21,72.98,2.02,0,0.18,0,0,0,0,1.65,0,0
縣市立,彰化縣,796,183,2,525,7,0,0,0,0,0,2,25,1,0,93.59,22.99,0.25,65.95,0.88,0,0,0,0,0,0.25,3.14,0.13,0
縣市立,南投縣,223,35,1,157,3,0,0,0,0,0,2,14,1,0,95.52,15.7,0.45,70.4,1.35,0,0,0,0,0,0.9,6.28,0.45,0
縣市立,雲林縣,382,75,7,255,7,1,0,0,0,0,2,1,3,0,91.88,19.63,1.83,66.75,1.83,0.26,0,0,0,0,0.52,0.26,0.79,0
縣市立,嘉義縣,296,85,1,169,2,0,0,0,0,0,1,11,0,0,90.88,28.72,0.34,57.09,0.68,0,0,0,0,0,0.34,3.72,0,0
縣市立,屏東縣,585,160,11,317,8,0,0,1,0,1,4,24,0,1,90.09,27.35,1.88,54.19,1.37,0,0,0.17,0,0.17,0.68,4.1,0,0.17
縣市立,臺東縣,22,1,0,9,0,0,0,0,0,0,0,0,0,0,45.45,4.55,0,40.91,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,44,21,1,9,1,0,0,0,0,0,0,0,0,0,72.73,47.73,2.27,20.45,2.27,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,291,57,2,203,3,0,0,0,0,0,2,3,1,0,93.13,19.59,0.69,69.76,1.03,0,0,0,0,0,0.69,1.03,0.34,0
縣市立,新竹市,898,339,0,505,3,0,0,0,0,0,3,2,2,1,95.21,37.75,0,56.24,0.33,0,0,0,0,0,0.33,0.22,0.22,0.11
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,9616,826,99,5821,573,5,17,15,24,6,6,51,292,39,80.84,8.59,1.03,60.53,5.96,0.05,0.18,0.16,0.25,0.06,0.06,0.53,3.04,0.41
私立,臺北市,8405,1420,142,4413,467,17,23,8,31,0,3,29,172,1,80.02,16.89,1.69,52.5,5.56,0.2,0.27,0.1,0.37,0,0.04,0.35,2.05,0.01
私立,桃園市,11638,1819,214,6295,715,44,14,8,13,4,8,85,26,1,79.45,15.63,1.84,54.09,6.14,0.38,0.12,0.07,0.11,0.03,0.07,0.73,0.22,0.01
私立,臺中市,13940,2264,505,7266,923,55,40,30,53,9,8,93,161,0,81.83,16.24,3.62,52.12,6.62,0.39,0.29,0.22,0.38,0.06,0.06,0.67,1.15,0
私立,臺南市,5549,1075,87,2832,373,1,0,1,7,18,16,102,19,0,81.65,19.37,1.57,51.04,6.72,0.02,0,0.02,0.13,0.32,0.29,1.84,0.34,0
私立,高雄市,9019,737,274,4257,680,21,10,40,38,2,6,79,44,2,68.63,8.17,3.04,47.2,7.54,0.23,0.11,0.44,0.42,0.02,0.07,0.88,0.49,0.02
私立,宜蘭縣,355,80,0,267,0,0,0,0,0,0,0,2,2,0,98.87,22.54,0,75.21,0,0,0,0,0,0,0,0.56,0.56,0
私立,新竹縣,1916,296,15,949,163,3,1,5,4,0,0,8,1,0,75.42,15.45,0.78,49.53,8.51,0.16,0.05,0.26,0.21,0,0,0.42,0.05,0
私立,苗栗縣,1394,100,21,599,150,2,0,1,1,0,0,13,3,3,64.06,7.17,1.51,42.97,10.76,0.14,0,0.07,0.07,0,0,0.93,0.22,0.22
私立,彰化縣,2545,237,24,1243,203,4,4,0,9,0,7,15,2,9,69.04,9.31,0.94,48.84,7.98,0.16,0.16,0,0.35,0,0.28,0.59,0.08,0.35
私立,南投縣,767,71,23,278,88,2,12,0,2,0,0,6,29,0,66.62,9.26,3,36.25,11.47,0.26,1.56,0,0.26,0,0,0.78,3.78,0
私立,雲林縣,2061,483,45,873,56,1,0,1,0,4,3,20,18,3,73.12,23.44,2.18,42.36,2.72,0.05,0,0.05,0,0.19,0.15,0.97,0.87,0.15
私立,嘉義縣,1522,193,21,691,62,1,7,31,7,0,0,13,2,15,68.53,12.68,1.38,45.4,4.07,0.07,0.46,2.04,0.46,0,0,0.85,0.13,0.99
私立,屏東縣,1244,132,36,528,18,0,0,2,7,1,2,28,2,0,60.77,10.61,2.89,42.44,1.45,0,0,0.16,0.56,0.08,0.16,2.25,0.16,0
私立,臺東縣,262,74,2,112,2,2,0,1,0,0,0,3,3,1,76.34,28.24,0.76,42.75,0.76,0.76,0,0.38,0,0,0,1.15,1.15,0.38
私立,花蓮縣,974,122,0,547,10,0,0,0,0,1,0,11,9,7,72.59,12.53,0,56.16,1.03,0,0,0,0,0.1,0,1.13,0.92,0.72
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,907,300,2,452,2,3,0,6,0,0,1,10,0,1,85.67,33.08,0.22,49.83,0.22,0.33,0,0.66,0,0,0.11,1.1,0,0.11
私立,新竹市,2451,356,17,1466,196,0,0,0,1,0,0,7,5,0,83.56,14.52,0.69,59.81,8,0,0,0,0.04,0,0,0.29,0.2,0
私立,嘉義市,1927,217,25,977,33,0,0,0,0,2,5,36,2,0,67.31,11.26,1.3,50.7,1.71,0,0,0,0,0.1,0.26,1.87,0.1,0
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
