設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,新北市,422,110,0,284,2,0,0,0,0,0,1,3,17,1,99.05,26.07,0,67.3,0.47,0,0,0,0,0,0.24,0.71,4.03,0.24
國立,臺北市,1232,927,0,237,1,0,0,0,0,1,0,4,24,1,97,75.24,0,19.24,0.08,0,0,0,0,0.08,0,0.32,1.95,0.08
國立,桃園市,1400,814,4,435,9,4,0,0,0,0,3,14,6,0,92.07,58.14,0.29,31.07,0.64,0.29,0,0,0,0,0.21,1,0.43,0
國立,臺中市,1365,789,22,388,24,1,0,0,0,3,2,11,11,0,91.65,57.8,1.61,28.42,1.76,0.07,0,0,0,0.22,0.15,0.81,0.81,0
國立,臺南市,8567,3755,120,3363,213,24,0,1,3,1,19,87,18,0,88.76,43.83,1.4,39.26,2.49,0.28,0,0.01,0.04,0.01,0.22,1.02,0.21,0
國立,高雄市,3831,1697,135,1470,83,11,1,2,3,2,16,39,6,5,90.58,44.3,3.52,38.37,2.17,0.29,0.03,0.05,0.08,0.05,0.42,1.02,0.16,0.13
國立,宜蘭縣,3063,823,32,1701,27,0,1,1,3,1,3,27,5,3,85.77,26.87,1.04,55.53,0.88,0,0.03,0.03,0.1,0.03,0.1,0.88,0.16,0.1
國立,新竹縣,1418,627,5,705,4,0,0,0,0,2,4,7,1,0,95.56,44.22,0.35,49.72,0.28,0,0,0,0,0.14,0.28,0.49,0.07,0
國立,苗栗縣,2502,662,84,1483,38,1,1,2,0,0,3,33,2,2,92.37,26.46,3.36,59.27,1.52,0.04,0.04,0.08,0,0,0.12,1.32,0.08,0.08
國立,彰化縣,7608,3068,206,3161,228,23,8,4,7,3,13,47,2,3,89.02,40.33,2.71,41.55,3,0.3,0.11,0.05,0.09,0.04,0.17,0.62,0.03,0.04
國立,南投縣,2679,645,63,1349,88,17,8,4,16,0,13,62,1,1,84.62,24.08,2.35,50.35,3.28,0.63,0.3,0.15,0.6,0,0.49,2.31,0.04,0.04
國立,雲林縣,2930,1017,198,1249,39,3,0,0,0,1,18,45,1,0,87.75,34.71,6.76,42.63,1.33,0.1,0,0,0,0.03,0.61,1.54,0.03,0
國立,嘉義縣,819,136,44,423,27,0,0,0,0,0,4,27,0,0,80.71,16.61,5.37,51.65,3.3,0,0,0,0,0,0.49,3.3,0,0
國立,屏東縣,3244,899,108,1346,51,16,5,5,2,2,21,134,0,3,79.9,27.71,3.33,41.49,1.57,0.49,0.15,0.15,0.06,0.06,0.65,4.13,0,0.09
國立,臺東縣,1186,337,23,514,4,20,5,0,0,4,6,21,1,2,79.01,28.41,1.94,43.34,0.34,1.69,0.42,0,0,0.34,0.51,1.77,0.08,0.17
國立,花蓮縣,1561,421,33,766,7,3,2,1,0,0,2,26,2,5,81.23,26.97,2.11,49.07,0.45,0.19,0.13,0.06,0,0,0.13,1.67,0.13,0.32
國立,澎湖縣,651,259,26,173,1,0,1,1,0,0,9,9,0,0,73.58,39.78,3.99,26.57,0.15,0,0.15,0.15,0,0,1.38,1.38,0,0
國立,基隆市,1162,235,29,773,22,1,0,0,1,0,2,15,0,2,92.94,20.22,2.5,66.52,1.89,0.09,0,0,0.09,0,0.17,1.29,0,0.17
國立,新竹市,2555,1788,23,552,24,0,1,0,0,0,1,11,64,0,96.44,69.98,0.9,21.6,0.94,0,0.04,0,0,0,0.04,0.43,2.5,0
